date,time,open,high,low,close,K,D,KD
2026-06-18,11:55,46446.0,46462.0,46411.0,46425.0,66.52,53.35,13.17
2026-06-18,12:00,46425.0,46437.0,46372.0,46380.0,60.84,55.85,4.99
2026-06-18,12:05,46378.0,46381.0,46354.0,46381.0,57.23,56.31,0.92
2026-06-18,12:10,46377.0,46386.0,46305.0,46308.0,42.4,51.67,-9.27
2026-06-18,12:15,46298.0,46320.0,46289.0,46292.0,29.8,44.38,-14.58
2026-06-18,12:20,46292.0,46330.0,46279.0,46301.0,23.53,37.43,-13.9
2026-06-18,12:25,46306.0,46327.0,46293.0,46299.0,19.02,31.3,-12.28
2026-06-18,12:30,46300.0,46318.0,46264.0,46302.0,18.57,27.05,-8.48
2026-06-18,12:35,46314.0,46364.0,46314.0,46345.0,26.02,26.71,-0.69
2026-06-18,12:40,46345.0,46370.0,46323.0,46346.0,33.15,28.85,4.3
2026-06-18,12:45,46356.0,46383.0,46329.0,46383.0,54.61,37.44,17.17
2026-06-18,12:50,46376.0,46447.0,46361.0,46440.0,68.47,47.78,20.69
2026-06-18,12:55,46440.0,46443.0,46406.0,46421.0,74.24,56.6,17.64
2026-06-18,13:00,46432.0,46491.0,46390.0,46483.0,81.65,64.95,16.7
2026-06-18,13:05,46486.0,46547.0,46478.0,46545.0,87.53,72.48,15.05
2026-06-18,13:10,46537.0,46575.0,46524.0,46533.0,87.19,77.38,9.81
2026-06-18,13:15,46541.0,46615.0,46541.0,46599.0,89.69,81.48,8.21
2026-06-18,13:20,46613.0,46634.0,46595.0,46607.0,90.23,84.4,5.83
2026-06-18,13:25,46622.0,46647.0,46571.0,46635.0,92.23,87.01,5.22
2026-06-18,13:30,46654.0,46654.0,46594.0,46641.0,93.34,89.12,4.22
2026-06-18,13:35,46637.0,46672.0,46630.0,46671.0,95.44,91.23,4.21
2026-06-18,13:40,46670.0,46774.0,46670.0,46768.0,96.44,92.96,3.48
2026-06-18,15:00,46805.0,46830.0,46805.0,46821.0,96.77,94.23,2.54
2026-06-18,15:05,46825.0,46867.0,46822.0,46867.0,97.85,95.44,2.41
2026-06-18,15:10,46862.0,46862.0,46791.0,46805.0,92.23,94.37,-2.14
2026-06-18,15:15,46807.0,46820.0,46776.0,46800.0,87.27,92.0,-4.73
2026-06-18,15:20,46799.0,46824.0,46773.0,46819.0,86.11,90.04,-3.93
2026-06-18,15:25,46820.0,46854.0,46818.0,46837.0,87.08,89.05,-1.97
2026-06-18,15:30,46823.0,46824.0,46791.0,46822.0,85.06,87.72,-2.66
2026-06-18,15:35,46821.0,46840.0,46807.0,46833.0,84.28,86.57,-2.29
2026-06-18,15:40,46838.0,46838.0,46809.0,46817.0,71.79,81.65,-9.86
2026-06-18,15:45,46823.0,46824.0,46792.0,46808.0,60.27,74.52,-14.25
2026-06-18,15:50,46805.0,46833.0,46805.0,46826.0,60.03,69.69,-9.66
2026-06-18,15:55,46823.0,46885.0,46817.0,46884.0,73.06,70.81,2.25
2026-06-18,16:00,46890.0,46934.0,46875.0,46927.0,80.59,74.07,6.52
2026-06-18,16:05,46896.0,46990.0,46896.0,46981.0,85.55,77.9,7.65
2026-06-18,16:10,46971.0,46981.0,46916.0,46921.0,78.81,78.2,0.61
2026-06-18,16:15,46922.0,46928.0,46897.0,46900.0,70.72,75.71,-4.99
2026-06-18,16:20,46904.0,46906.0,46860.0,46878.0,61.63,71.01,-9.38
2026-06-18,16:25,46878.0,46889.0,46865.0,46870.0,54.22,65.41,-11.19
2026-06-18,16:30,46881.0,46891.0,46861.0,46878.0,49.3,60.04,-10.74
2026-06-18,16:35,46880.0,46919.0,46866.0,46910.0,50.78,56.96,-6.18
2026-06-18,16:40,46910.0,46925.0,46898.0,46902.0,44.62,52.85,-8.23
2026-06-18,16:45,46899.0,46915.0,46880.0,46907.0,41.8,49.16,-7.36
2026-06-18,16:50,46907.0,46907.0,46853.0,46861.0,29.95,42.76,-12.81
2026-06-18,16:55,46860.0,46867.0,46781.0,46811.0,26.77,37.43,-10.66
2026-06-18,17:00,46797.0,46843.0,46773.0,46842.0,32.98,35.95,-2.97
2026-06-18,17:05,46844.0,46877.0,46837.0,46857.0,40.41,37.43,2.98
2026-06-18,17:10,46849.0,46850.0,46798.0,46822.0,37.68,37.52,0.16
2026-06-18,17:15,46830.0,46858.0,46827.0,46828.0,37.18,37.41,-0.23
2026-06-18,17:20,46826.0,46859.0,46820.0,46833.0,37.95,37.59,0.36
2026-06-18,17:25,46842.0,46857.0,46831.0,46837.0,40.32,38.5,1.82
2026-06-18,17:30,46837.0,46844.0,46813.0,46813.0,36.83,37.94,-1.11
2026-06-18,17:35,46815.0,46882.0,46815.0,46879.0,56.97,44.28,12.69
2026-06-23,05:00,48866.0,48866.0,48866.0,48866.0,71.31,53.29,18.02
2026-06-23,08:45,48385.0,48618.0,48244.0,48538.0,75.59,60.73,14.86
2026-06-23,08:50,48550.0,48564.0,48387.0,48404.0,76.28,65.91,10.37
2026-06-23,08:55,48379.0,48482.0,48325.0,48472.0,77.79,69.87,7.92
2026-06-23,09:00,48452.0,48581.0,48385.0,48566.0,80.32,73.35,6.97
2026-06-23,09:05,48558.0,48596.0,48318.0,48402.0,79.35,75.35,4.0
2026-06-23,10:00,48114.0,48169.0,48114.0,48151.0,74.62,75.11,-0.49
2026-06-23,10:05,48150.0,48160.0,48001.0,48031.0,69.51,73.24,-3.73
2026-06-23,10:10,48020.0,48164.0,48020.0,48132.0,51.39,65.96,-14.57
2026-06-23,10:15,48152.0,48226.0,48034.0,48222.0,46.2,59.37,-13.17
2026-06-23,10:20,48211.0,48225.0,48140.0,48159.0,39.65,52.8,-13.15
2026-06-23,10:25,48163.0,48192.0,48090.0,48130.0,33.66,46.42,-12.76
2026-06-23,10:30,48147.0,48188.0,48093.0,48120.0,29.11,40.65,-11.54
2026-06-23,10:35,48126.0,48183.0,48107.0,48107.0,25.34,35.55,-10.21
2026-06-23,10:40,48120.0,48164.0,48067.0,48164.0,41.04,37.38,3.66
2026-06-23,10:45,48176.0,48186.0,48044.0,48087.0,40.1,38.29,1.81
2026-06-23,10:50,48086.0,48157.0,48086.0,48125.0,43.73,40.1,3.63
2026-06-23,10:55,48120.0,48155.0,47975.0,47993.0,31.54,37.25,-5.71
2026-06-23,11:00,48016.0,48065.0,47937.0,48035.0,32.37,35.62,-3.25
2026-06-23,11:05,48045.0,48045.0,47908.0,47911.0,21.93,31.06,-9.13
2026-06-23,11:10,47905.0,47963.0,47882.0,47928.0,19.63,27.25,-7.62
2026-06-23,11:15,47925.0,47942.0,47881.0,47885.0,13.53,22.67,-9.14
2026-06-23,11:20,47887.0,47929.0,47869.0,47895.0,11.75,19.03,-7.28
2026-06-23,11:25,47894.0,47933.0,47867.0,47886.0,9.82,15.96,-6.14
2026-06-23,11:30,47901.0,47901.0,47769.0,47806.0,9.72,13.88,-4.16
2026-06-23,11:35,47821.0,47821.0,47668.0,47703.0,8.88,12.21,-3.33
2026-06-23,11:40,47705.0,47825.0,47681.0,47813.0,18.09,14.17,3.92
2026-06-23,11:45,47840.0,47866.0,47790.0,47833.0,26.65,18.33,8.32
2026-06-23,11:50,47833.0,47995.0,47832.0,47978.0,49.37,28.68,20.69
2026-06-23,11:55,47976.0,48058.0,47948.0,48058.0,66.25,41.2,25.05
2026-06-23,12:00,48061.0,48089.0,48024.0,48085.0,77.18,53.19,23.99
2026-06-23,12:05,48080.0,48084.0,48024.0,48031.0,80.19,62.19,18.0
2026-06-23,12:10,48040.0,48040.0,47959.0,47974.0,77.69,67.36,10.33
2026-06-23,12:15,47972.0,47973.0,47875.0,47886.0,69.05,67.92,1.13
2026-06-23,12:20,47880.0,47895.0,47811.0,47883.0,62.54,66.13,-3.59
2026-06-23,12:25,47888.0,47917.0,47865.0,47914.0,55.52,62.59,-7.07
2026-06-23,12:30,47897.0,47897.0,47839.0,47858.0,42.65,55.94,-13.29
2026-06-23,12:35,47858.0,47879.0,47834.0,47856.0,33.83,48.57,-14.74
2026-06-23,12:40,47851.0,47859.0,47800.0,47811.0,23.82,40.32,-16.5
2026-06-23,12:45,47821.0,47825.0,47733.0,47753.0,17.78,32.81,-15.03
2026-06-23,12:50,47755.0,47755.0,47651.0,47663.0,12.88,26.17,-13.29
2026-06-23,12:55,47679.0,47681.0,47602.0,47607.0,9.04,20.46,-11.42
2026-06-23,13:00,47629.0,47683.0,47608.0,47645.0,10.57,17.16,-6.59
2026-06-23,13:05,47632.0,47649.0,47581.0,47633.0,12.21,15.51,-3.3
2026-06-23,13:10,47625.0,47678.0,47606.0,47655.0,15.94,15.66,0.28
2026-06-23,13:15,47659.0,47693.0,47613.0,47622.0,15.22,15.51,-0.29
2026-06-23,13:20,47619.0,47643.0,47590.0,47611.0,13.74,14.92,-1.18
2026-06-23,13:25,47619.0,47648.0,47500.0,47513.0,10.49,13.44,-2.95
2026-06-23,13:30,47542.0,47542.0,47433.0,47434.0,7.1,11.33,-4.23
